cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
       167  1.875089151E-05  7.749701874E-06  1.875089151E-05  7.749701874E-06  1.493014342E+01  1.044539851E-01  1.044539828E-01  2.211888900E-05 
       168  1.185764559E-05  7.502453942E-07  1.185764559E-05  7.502453942E-07  9.597612314E+01  4.563249347E-02  4.560642953E-02  1.542091216E-03 
       169  1.925045733E-05  8.249847352E-06  1.925045733E-05  8.249847352E-06  9.028947819E+00  8.655665839E-02  8.655665568E-02  2.168031075E-05 
       170  1.975000009E-05  8.750000010E-06  1.975000009E-05  8.750000010E-06  3.020335961E+00  6.559174672E-02  6.559174271E-02  2.294731794E-05 
       171  1.528077527E-05  4.750106704E-06  1.528077527E-05  4.750106704E-06  5.681801545E+01  1.490157585E-01  1.490157358E-01  8.215912673E-05 
       172  1.576390953E-05  5.250465978E-06  1.576390953E-05  5.250465978E-06  5.093360927E+01  1.491481971E-01  1.491481935E-01 -3.285084094E-05 
       173  1.479711393E-05  4.249972024E-06  1.479711393E-05  4.249972024E-06  6.285055760E+01  1.459001864E-01  1.458994824E-01  4.532300012E-04 
       174  1.625592950E-05  5.750156304E-06  1.625592950E-05  5.750156304E-06  4.499791702E+01  1.462641879E-01  1.462641659E-01 -8.017610154E-05 
       175  1.430597642E-05  3.749910765E-06  1.430597642E-05  3.749910765E-06  6.870248103E+01  1.399066834E-01  1.399030707E-01  1.005419777E-03 
       176  1.381550544E-05  3.249973676E-06  1.381550544E-05  3.249973676E-06  7.465595739E+01  1.312380616E-01  1.312252083E-01  1.836717418E-03 
       177  1.675171142E-05  6.250045129E-06  1.675171142E-05  6.250045129E-06  3.894709634E+01  1.403239123E-01  1.403239047E-01 -4.629181938E-05 
       178  1.332808577E-05  2.749976090E-06  1.332808577E-05  2.749976090E-06  8.048542529E+01  1.200550115E-01  1.200235182E-01  2.749705530E-03 
